"Name","Color","Rarity","# Seen","ALSA","# Picked","ATA","# GP","% GP","GP WR","# OH","OH WR","# GD","GD WR","# GIH","GIH WR","# GNS","GNS WR","IIH"
"Pathfinding Axejaw","G","C","84927","3.82","15048","4.69","84298","89.7%","57.3%","14496","59.4%","20357","59.1%","34853","59.2%","48896","56.0%","3.2pp"
"Poison Dart Frog","G","C","74286","3.24","12767","3.99","71786","90.2%","57.4%","13013","61.8%","15871","55.9%","28884","58.6%","42547","56.6%","2.0pp"
"Pugnacious Hammerskull","G","R","2430","1.00","1446","1.00","7556","82.3%","59.4%","1355","67.4%","1847","63.9%","3202","65.4%","4297","55.0%","10.3pp"
"River Herald Guide","G","C","109574","5.09","13567","6.70","65985","79.1%","55.9%","11788","56.5%","15381","56.1%","27169","56.3%","38417","55.6%","0.7pp"
"Seeker of Sunlight","G","C","134776","8.58","17651","11.05","35595","32.2%","53.2%","6380","53.3%","7813","52.4%","14193","52.8%","21203","53.4%","-0.6pp"
"Sentinel of the Nameless City","G","R","2358","1.00","1628","1.00","8575","83.0%","59.4%","1506","69.8%","2148","62.8%","3654","65.7%","4883","54.5%","11.2pp"
"The Skullspore Nexus","G","M","1214","1.02","778","1.02","3830","80.3%","56.8%","582","56.9%","993","64.0%","1575","61.4%","2248","53.4%","8.0pp"
"Spelunking","G","U","52333","7.17","5801","10.05","5633","15.5%","49.4%","984","48.5%","1270","52.0%","2254","50.4%","3348","48.5%","2.0pp"
"Staggering Size","G","C","133859","8.18","20712","10.00","65498","50.0%","57.1%","10301","54.7%","14868","58.8%","25169","57.1%","40299","57.0%","0.0pp"
"Tendril of the Mycotyrant","G","U","30928","3.31","4177","4.19","22317","85.0%","56.9%","3969","56.7%","5130","58.8%","9099","57.9%","13046","56.1%","1.7pp"
"Thrashing Brontodon","G","U","22260","2.50","4353","2.96","24321","90.2%","56.9%","4246","58.3%","5823","57.9%","10069","58.1%","14125","56.1%","2.0pp"
"Twists and Turns","G","U","49273","4.42","7282","5.50","30453","69.8%","54.7%","5168","52.6%","7494","56.7%","12662","55.0%","17760","54.5%","0.5pp"
"Walk with the Ancestors","G","C","136131","9.28","20468","11.72","27918","21.7%","53.9%","4375","49.7%","6790","55.3%","11165","53.1%","16726","54.3%","-1.2pp"
"Abuelo, Ancestral Echo","WU","R","2459","1.02","1447","1.01","7100","80.0%","57.3%","1247","58.3%","1831","59.0%","3078","58.7%","3973","56.2%","2.5pp"
"Akawalli, the Seething Tower","BG","U","31066","3.27","3632","3.94","16728","75.2%","55.4%","2856","55.9%","4360","58.6%","7216","57.6%","9377","53.7%","3.8pp"
